Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD,Change,Hour,Weekday,Month,Volatility,CandleBodyRatio,Year
15/07/2018,BTCUSD,6336,6359.81,6325.96,6353.01,357.15,2268610.84,0.2684659091,11:00,Sunday,July,0.0053424874,0.5025110783,2018
15/07/2018,BTCUSD,6302.99,6384.47,6302.99,6336,508.32,3225731.02,0.5237196949,10:00,Sunday,July,0.0129271980,0.4051300933,2018
15/07/2018,BTCUSD,6311.47,6330.99,6296.72,6302.99,199.63,1260251.48,-0.1300000000,09:00,Sunday,July,0.0054297969,0.2474467464,2018
15/07/2018,BTCUSD,6277,6349.47,6267.31,6311.47,299.95,1891954.57,0.5491476820,08:00,Sunday,July,0.0130890553,0.4195472249,2018
15/07/2018,BTCUSD,6274.99,6279.5,6256.5,6277,22.0,137960.07,0.0320319236,07:00,Sunday,July,0.0036653445,0.0873913043,2018
15/07/2018,BTCUSD,6275.95,6283.57,6266.26,6274.99,86.17,540629.42,-0.0200000000,06:00,Sunday,July,0.0027581482,0.0554592721,2018
15/07/2018,BTCUSD,6266.27,6280.41,6258.72,6275.95,46.05,288836.56,0.1500000000,05:00,Sunday,July,0.0034613893,0.4462886123,2018
15/07/2018,BTCUSD,6248.6,6277.28,6248.6,6266.27,77.26,484027.1,0.2827833435,04:00,Sunday,July,0.0045898281,0.6161087866,2018
15/07/2018,BTCUSD,6249.61,6252.85,6235.12,6248.6,175.88,1097749.25,-0.0161610084,03:00,Sunday,July,0.0028369770,0.0569655950,2018
15/07/2018,BTCUSD,6243.93,6250.64,6232.06,6249.61,38.61,240983.43,0.0900000000,02:00,Sunday,July,0.0029756900,0.3057050592,2018
15/07/2018,BTCUSD,6243.42,6247.97,6227.94,6243.93,36.89,230131.13,0.0100000000,01:00,Sunday,July,0.0032081776,0.0254618073,2018
15/07/2018,BTCUSD,6243.98,6255.86,6227.76,6243.42,63.46,396208.02,-0.0100000000,00:00,Sunday,July,0.0045003347,0.0199288256,2018
14/07/2018,BTCUSD,6246.57,6261.06,6238.56,6243.98,54.37,339748.71,-0.0400000000,23:00,Saturday,July,0.0036019768,0.1151111111,2018
14/07/2018,BTCUSD,6265.61,6277.9,6238.48,6246.57,63.91,399501.47,-0.3000000000,22:00,Saturday,July,0.0062914864,0.4830035515,2018
14/07/2018,BTCUSD,6270.31,6286.37,6257.13,6265.61,54.81,343757.75,-0.0700000000,21:00,Saturday,July,0.0046632463,0.1607387141,2018
